max_bitrate,regulator_max_bitrate,fec,redundancy,chunk_duration,chunk_max_packets,repair,write_method,max_payload,rcvbuf_size,tx_bytes,tx_packets,OutDatagrams,SndbufErrors,rx_bytes,rx_packets,InDatagrams,InErrors,NoPorts,RcvbufErrors,InCsumErrors,IgnoredMulti,MemErrors,details_uuid,success,returncode,duration
1000000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,a752cbaea6f3,1,0,1.4689
0,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,614a47c3003b,1,0,1.4154
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,bebbaef67798,1,0,1.3783
0,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,cb3b98b4f06b,1,0,1.4140
0,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,3e85115ef8c2,1,0,1.3810
500000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,eb3233f4db12,1,0,2.5526
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,33efe78b93d6,1,0,2.5226
500000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,964aa7747bb8,1,0,2.6351
500000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,c168865d51d2,1,0,2.5189
750000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,4a8816b4a44a,1,0,1.8412
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e561471e2ba7,1,0,1.8197
750000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,50360ac0b09b,1,0,1.8277
750000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,851d6be0fac5,1,0,1.8030
1000000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,967dcc71d247,1,0,1.4996
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ab0f33e6d33d,1,0,1.4760
1000000000,0,,,,,,asyncio,65507,,127934888,85870,1909,0,127934818,85869,1909,0,0,0,0,0,0,84e2992ec11d,1,0,1.6047
1000000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e36cd33e5058,1,0,1.4653
0,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,28582c3ae20a,1,0,1.4147
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f363cde20972,1,0,1.3805
0,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,83571b606607,1,0,1.4098
0,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,292b76766bc5,1,0,1.3802
500000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,05b7393876e4,1,0,2.5508
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,20e4d2ffc573,1,0,2.5184
500000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,314c7b4f43aa,1,0,2.6266
500000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1893,16,0,16,0,0,0,e2ddf38bd747,0,0,2.5218
750000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,34527a7a4ce9,1,0,1.8404
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,47da5e69a22d,1,0,1.8062
750000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,76762480fd22,1,0,1.9983
750000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,a06063d81769,1,0,1.8069
1000000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,caaa6431e7b1,1,0,1.4997
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,7f7a0d8d3863,1,0,1.4681
1000000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8ea2b4de70c9,1,0,1.6360
1000000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,21de166caf85,1,0,1.4693
0,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,c4273b295abb,1,0,1.4121
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8d6e3d5d0f01,1,0,1.3773
0,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,2ed1f707e53c,1,0,1.4137
0,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e6399bc5ac27,1,0,1.3799
500000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,1a170c1fdeb3,1,0,2.5515
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,4ee2c1255ff4,1,0,2.5306
500000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,d83a4b0eef00,1,0,2.6248
500000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1893,16,0,16,0,0,0,7603bba9e4b4,0,0,2.5176
750000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,19b36ecda434,1,0,1.8425
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,5112fee43d55,1,0,1.8073
750000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,0eae4cd60cac,1,0,2.0142
750000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,322584a26490,1,0,1.8045
1000000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,0f647e416226,1,0,1.5064
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e33d4700a2a5,1,0,1.4658
1000000000,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,bd48bd263d93,1,0,1.6068
1000000000,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,3798c3f1ab13,1,0,1.4663
0,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,18557aeb5ca7,1,0,1.4097
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,10c54135a3ad,1,0,1.3766
0,0,,,,,,asyncio,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,794ceac785ae,1,0,1.4152
0,0,,,,,,main,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e7bf0b6cfa72,1,0,1.3824
500000000,0,,,,,,defer,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,9b42756f5491,1,0,2.5519
